GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
repack-maven-plugin,org.basepom.mojo.repack,OptionalArtifactFilter,59,0,8,0,16,0,6,0,2,0
repack-maven-plugin,org.basepom.mojo.repack,ScopeExclusionFilter,37,0,4,0,10,0,4,0,2,0
repack-maven-plugin,org.basepom.mojo.repack,Wildcard,9,104,1,26,3,30,2,15,1,2
repack-maven-plugin,org.basepom.mojo.repack,HelpMojo,854,0,108,0,153,0,70,0,16,0
repack-maven-plugin,org.basepom.mojo.repack,ArtifactsLibraries,277,0,26,0,60,0,19,0,6,0
repack-maven-plugin,org.basepom.mojo.repack,LoggingMainClassTimeoutWarningListener,15,0,0,0,5,0,3,0,3,0
repack-maven-plugin,org.basepom.mojo.repack,PluginLog,215,0,2,0,56,0,11,0,10,0
repack-maven-plugin,org.basepom.mojo.repack,DependencyDefinitionFilter,59,0,8,0,14,0,6,0,2,0
repack-maven-plugin,org.basepom.mojo.repack,Reporter,286,0,6,0,45,0,16,0,13,0
repack-maven-plugin,org.basepom.mojo.repack,RepackMojo,778,0,68,0,151,0,49,0,15,0
repack-maven-plugin,org.basepom.mojo.repack,LayoutType,80,0,0,0,10,0,3,0,3,0
repack-maven-plugin,org.basepom.mojo.repack,ArtifactsLibraries.ArtifactLibraryCoordinates,25,0,0,0,7,0,5,0,5,0
repack-maven-plugin,org.basepom.mojo.repack,DependencyDefinition,162,155,19,23,29,28,16,16,5,6
